"280001--281000", 115
"281001--282000", 136
"282001--283000", 112
"283001--284000", 118
"284001--285000", 104
"285001--286000", 141
"286001--287000", 109
"287001--288000", 116
"288001--289000", 116
"289001--290000", 130
"290001--291000", 120
"291001--292000", 107
"292001--293000", 105
"293001--294000", 106
"294001--295000", 124
"295001--296000", 117
"296001--297000", 114
"297001--298000", 114
"298001--299000", 120
"299001--300000", 127
"300001--301000", 122
"301001--302000", 116
"302001--303000", 105
"303001--304000", 105
"304001--305000", 129
"305001--306000", 121
"306001--307000", 135
"307001--308000", 112
"308001--309000", 115
"309001--310000", 121
"310001--311000", 117
"311001--312000", 102
"312001--313000", 122
"313001--314000", 102
"314001--315000", 114
"315001--316000", 128
"316001--317000", 136
"317001--318000", 122
"318001--319000", 130
"319001--320000", 101
"320001--321000", 104
"321001--322000", 113
"322001--323000", 110
"323001--324000", 114
"324001--325000", 119
"325001--326000", 95
"326001--327000", 112
"327001--328000", 133
"328001--329000", 113
"329001--330000", 137
"330001--331000", 170
"331001--332000", 197
"332001--333000", 301
"333001--334000", 98
